sender,receiver,subject,session,condition,moralCondition,condition2,neighbor
Participant G,Participant E,1,0vz6af17,guns,outrage,guns_outrage,n1
Participant K,Participant I,2,0vz6af17,guns,outrage,guns_outrage,n1
Participant J,Participant H,3,0vz6af17,guns,outrage,guns_outrage,n1
Participant F,Participant D,4,0vz6af17,guns,outrage,guns_outrage,n1
Participant H,Participant F,5,0vz6af17,guns,outrage,guns_outrage,n1
Participant C,Participant A,6,0vz6af17,guns,outrage,guns_outrage,n1
Participant B,Participant L,7,0vz6af17,guns,outrage,guns_outrage,n1
Participant I,Participant G,8,0vz6af17,guns,outrage,guns_outrage,n1
Participant L,Participant J,9,0vz6af17,guns,outrage,guns_outrage,n1
Participant E,Participant C,10,0vz6af17,guns,outrage,guns_outrage,n1
Participant A,Participant K,11,0vz6af17,guns,outrage,guns_outrage,n1
Participant H,Participant F,12,2djdfaey,gunsR,outrage,gunsR_outrage,n1
Participant B,Participant L,13,2djdfaey,gunsR,outrage,gunsR_outrage,n1
Participant K,Participant I,14,2djdfaey,gunsR,outrage,gunsR_outrage,n1
Participant I,Participant G,15,2djdfaey,gunsR,outrage,gunsR_outrage,n1
Participant F,Participant D,16,2djdfaey,gunsR,outrage,gunsR_outrage,n1
Participant E,Participant C,17,2djdfaey,gunsR,outrage,gunsR_outrage,n1
Participant G,Participant E,18,2djdfaey,gunsR,outrage,gunsR_outrage,n1
Participant C,Participant A,19,2djdfaey,gunsR,outrage,gunsR_outrage,n1
Participant L,Participant J,20,2djdfaey,gunsR,outrage,gunsR_outrage,n1
Participant J,Participant H,21,2djdfaey,gunsR,outrage,gunsR_outrage,n1
Participant A,Participant K,22,2djdfaey,gunsR,outrage,gunsR_outrage,n1
Participant G,Participant E,23,34upvoji,gunsR,neutral,gunsR_neutral,n1
Participant I,Participant G,24,34upvoji,gunsR,neutral,gunsR_neutral,n1
Participant L,Participant J,25,34upvoji,gunsR,neutral,gunsR_neutral,n1
Participant A,Participant K,26,34upvoji,gunsR,neutral,gunsR_neutral,n1
Participant E,Participant C,27,34upvoji,gunsR,neutral,gunsR_neutral,n1
Participant K,Participant I,28,34upvoji,gunsR,neutral,gunsR_neutral,n1
Participant C,Participant A,29,34upvoji,gunsR,neutral,gunsR_neutral,n1
Participant F,Participant D,30,34upvoji,gunsR,neutral,gunsR_neutral,n1
Participant H,Participant F,31,34upvoji,gunsR,neutral,gunsR_neutral,n1
Participant J,Participant H,32,34upvoji,gunsR,neutral,gunsR_neutral,n1
Participant B,Participant L,33,34upvoji,gunsR,neutral,gunsR_neutral,n1
Participant E,Participant C,34,7st92i94,gunsR,outrage,gunsR_outrage,n1
Participant J,Participant H,35,7st92i94,gunsR,outrage,gunsR_outrage,n1
Participant F,Participant D,36,7st92i94,gunsR,outrage,gunsR_outrage,n1
Participant B,Participant L,37,7st92i94,gunsR,outrage,gunsR_outrage,n1
Participant K,Participant I,38,7st92i94,gunsR,outrage,gunsR_outrage,n1
Participant L,Participant J,39,7st92i94,gunsR,outrage,gunsR_outrage,n1
Participant H,Participant F,40,7st92i94,gunsR,outrage,gunsR_outrage,n1
Participant I,Participant G,41,7st92i94,gunsR,outrage,gunsR_outrage,n1
Participant A,Participant K,42,7st92i94,gunsR,outrage,gunsR_outrage,n1
Participant G,Participant E,43,7st92i94,gunsR,outrage,gunsR_outrage,n1
Participant C,Participant A,44,7st92i94,gunsR,outrage,gunsR_outrage,n1
Participant E,Participant C,45,kv9ecle8,guns,outrage,guns_outrage,n1
Participant F,Participant D,46,kv9ecle8,guns,outrage,guns_outrage,n1
Participant B,Participant L,47,kv9ecle8,guns,outrage,guns_outrage,n1
Participant A,Participant K,48,kv9ecle8,guns,outrage,guns_outrage,n1
Participant C,Participant A,49,kv9ecle8,guns,outrage,guns_outrage,n1
Participant J,Participant H,50,kv9ecle8,guns,outrage,guns_outrage,n1
Participant H,Participant F,51,kv9ecle8,guns,outrage,guns_outrage,n1
Participant I,Participant G,52,kv9ecle8,guns,outrage,guns_outrage,n1
Participant K,Participant I,53,kv9ecle8,guns,outrage,guns_outrage,n1
Participant L,Participant J,54,kv9ecle8,guns,outrage,guns_outrage,n1
Participant G,Participant E,55,kv9ecle8,guns,outrage,guns_outrage,n1
Participant A,Participant K,56,ntsj19eg,guns,neutral,guns_neutral,n1
Participant J,Participant H,57,ntsj19eg,guns,neutral,guns_neutral,n1
Participant L,Participant J,58,ntsj19eg,guns,neutral,guns_neutral,n1
Participant H,Participant F,59,ntsj19eg,guns,neutral,guns_neutral,n1
Participant B,Participant L,60,ntsj19eg,guns,neutral,guns_neutral,n1
Participant E,Participant C,61,ntsj19eg,guns,neutral,guns_neutral,n1
Participant G,Participant E,62,ntsj19eg,guns,neutral,guns_neutral,n1
Participant C,Participant A,63,ntsj19eg,guns,neutral,guns_neutral,n1
Participant I,Participant G,64,ntsj19eg,guns,neutral,guns_neutral,n1
Participant K,Participant I,65,ntsj19eg,guns,neutral,guns_neutral,n1
Participant F,Participant D,66,ntsj19eg,guns,neutral,guns_neutral,n1
Participant H,Participant F,67,wyk984vb,gunsR,neutral,gunsR_neutral,n1
Participant E,Participant C,68,wyk984vb,gunsR,neutral,gunsR_neutral,n1
Participant J,Participant H,69,wyk984vb,gunsR,neutral,gunsR_neutral,n1
Participant F,Participant D,70,wyk984vb,gunsR,neutral,gunsR_neutral,n1
Participant G,Participant E,71,wyk984vb,gunsR,neutral,gunsR_neutral,n1
Participant I,Participant G,72,wyk984vb,gunsR,neutral,gunsR_neutral,n1
Participant K,Participant I,73,wyk984vb,gunsR,neutral,gunsR_neutral,n1
Participant A,Participant K,74,wyk984vb,gunsR,neutral,gunsR_neutral,n1
Participant L,Participant J,75,wyk984vb,gunsR,neutral,gunsR_neutral,n1
Participant B,Participant L,76,wyk984vb,gunsR,neutral,gunsR_neutral,n1
Participant C,Participant A,77,wyk984vb,gunsR,neutral,gunsR_neutral,n1
Participant G,Participant F,1,0vz6af17,guns,outrage,guns_outrage,n2
Participant K,Participant J,2,0vz6af17,guns,outrage,guns_outrage,n2
Participant J,Participant I,3,0vz6af17,guns,outrage,guns_outrage,n2
Participant F,Participant E,4,0vz6af17,guns,outrage,guns_outrage,n2
Participant H,Participant G,5,0vz6af17,guns,outrage,guns_outrage,n2
Participant C,Participant B,6,0vz6af17,guns,outrage,guns_outrage,n2
Participant B,Participant A,7,0vz6af17,guns,outrage,guns_outrage,n2
Participant I,Participant H,8,0vz6af17,guns,outrage,guns_outrage,n2
Participant L,Participant K,9,0vz6af17,guns,outrage,guns_outrage,n2
Participant E,Participant D,10,0vz6af17,guns,outrage,guns_outrage,n2
Participant A,Participant L,11,0vz6af17,guns,outrage,guns_outrage,n2
Participant H,Participant G,12,2djdfaey,gunsR,outrage,gunsR_outrage,n2
Participant B,Participant A,13,2djdfaey,gunsR,outrage,gunsR_outrage,n2
Participant K,Participant J,14,2djdfaey,gunsR,outrage,gunsR_outrage,n2
Participant I,Participant H,15,2djdfaey,gunsR,outrage,gunsR_outrage,n2
Participant F,Participant E,16,2djdfaey,gunsR,outrage,gunsR_outrage,n2
Participant E,Participant D,17,2djdfaey,gunsR,outrage,gunsR_outrage,n2
Participant G,Participant F,18,2djdfaey,gunsR,outrage,gunsR_outrage,n2
Participant C,Participant B,19,2djdfaey,gunsR,outrage,gunsR_outrage,n2
Participant L,Participant K,20,2djdfaey,gunsR,outrage,gunsR_outrage,n2
Participant J,Participant I,21,2djdfaey,gunsR,outrage,gunsR_outrage,n2
Participant A,Participant L,22,2djdfaey,gunsR,outrage,gunsR_outrage,n2
Participant G,Participant F,23,34upvoji,gunsR,neutral,gunsR_neutral,n2
Participant I,Participant H,24,34upvoji,gunsR,neutral,gunsR_neutral,n2
Participant L,Participant K,25,34upvoji,gunsR,neutral,gunsR_neutral,n2
Participant A,Participant L,26,34upvoji,gunsR,neutral,gunsR_neutral,n2
Participant E,Participant D,27,34upvoji,gunsR,neutral,gunsR_neutral,n2
Participant K,Participant J,28,34upvoji,gunsR,neutral,gunsR_neutral,n2
Participant C,Participant B,29,34upvoji,gunsR,neutral,gunsR_neutral,n2
Participant F,Participant E,30,34upvoji,gunsR,neutral,gunsR_neutral,n2
Participant H,Participant G,31,34upvoji,gunsR,neutral,gunsR_neutral,n2
Participant J,Participant I,32,34upvoji,gunsR,neutral,gunsR_neutral,n2
Participant B,Participant A,33,34upvoji,gunsR,neutral,gunsR_neutral,n2
Participant E,Participant D,34,7st92i94,gunsR,outrage,gunsR_outrage,n2
Participant J,Participant I,35,7st92i94,gunsR,outrage,gunsR_outrage,n2
Participant F,Participant E,36,7st92i94,gunsR,outrage,gunsR_outrage,n2
Participant B,Participant A,37,7st92i94,gunsR,outrage,gunsR_outrage,n2
Participant K,Participant J,38,7st92i94,gunsR,outrage,gunsR_outrage,n2
Participant L,Participant K,39,7st92i94,gunsR,outrage,gunsR_outrage,n2
Participant H,Participant G,40,7st92i94,gunsR,outrage,gunsR_outrage,n2
Participant I,Participant H,41,7st92i94,gunsR,outrage,gunsR_outrage,n2
Participant A,Participant L,42,7st92i94,gunsR,outrage,gunsR_outrage,n2
Participant G,Participant F,43,7st92i94,gunsR,outrage,gunsR_outrage,n2
Participant C,Participant B,44,7st92i94,gunsR,outrage,gunsR_outrage,n2
Participant E,Participant D,45,kv9ecle8,guns,outrage,guns_outrage,n2
Participant F,Participant E,46,kv9ecle8,guns,outrage,guns_outrage,n2
Participant B,Participant A,47,kv9ecle8,guns,outrage,guns_outrage,n2
Participant A,Participant L,48,kv9ecle8,guns,outrage,guns_outrage,n2
Participant C,Participant B,49,kv9ecle8,guns,outrage,guns_outrage,n2
Participant J,Participant I,50,kv9ecle8,guns,outrage,guns_outrage,n2
Participant H,Participant G,51,kv9ecle8,guns,outrage,guns_outrage,n2
Participant I,Participant H,52,kv9ecle8,guns,outrage,guns_outrage,n2
Participant K,Participant J,53,kv9ecle8,guns,outrage,guns_outrage,n2
Participant L,Participant K,54,kv9ecle8,guns,outrage,guns_outrage,n2
Participant G,Participant F,55,kv9ecle8,guns,outrage,guns_outrage,n2
Participant A,Participant L,56,ntsj19eg,guns,neutral,guns_neutral,n2
Participant J,Participant I,57,ntsj19eg,guns,neutral,guns_neutral,n2
Participant L,Participant K,58,ntsj19eg,guns,neutral,guns_neutral,n2
Participant H,Participant G,59,ntsj19eg,guns,neutral,guns_neutral,n2
Participant B,Participant A,60,ntsj19eg,guns,neutral,guns_neutral,n2
