SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,,,,Feedback
208805,A3SL5QRF7MX2P1,3WRFBPLXRBEG2N27CSGUT4BT21Y3NP,1238,4/6/2020 7:37:39 PM,4/6/2020 7:58:17 PM,Approved,5.00,1.00,0.696700,N3791244,,,,
208805,A3O5RKGH6VB19C,37U1UTWH9WCNII05HGS7T5OEJKER8S,1307,4/6/2020 7:36:40 PM,4/6/2020 7:58:27 PM,Approved,5.00,1.00,0.696700,N3791244,,,,
208805,ASCTCB5BHNS43,3QJOXOW4XKHDU3X4PBIQZGQQO0DMEY,1361,4/6/2020 7:36:32 PM,4/6/2020 7:59:13 PM,Approved,5.00,1.00,0.696700,N3791244,,,,
208805,A3CD3C99T8S6ON,34Q075JO1Y3H7OWLOI0DUZ0JWO910K,1370,4/6/2020 7:36:55 PM,4/6/2020 7:59:45 PM,Approved,5.00,1.00,0.696700,N3791244,,,,
208805,A2KW17G25L25R8,3ZWFC4W1UVXWXXASPUYD3X506ORRF9,1342,4/6/2020 7:37:37 PM,4/6/2020 7:59:59 PM,Approved,5.00,1.00,0.696700,N3791244,,,,
208805,A2METANSJXXHRO,3PJ71Z61R5SZ3IKYOEJ6NA1CZS319W,1400,4/6/2020 7:37:39 PM,4/6/2020 8:00:59 PM,Approved,5.00,1.00,0.696700,N3791244,,,,
208805,A3L0DCUXI7X3A9,3ZV9H2YQQEX6PHBL4T7HPNOKVD1W38,1507,4/6/2020 7:36:52 PM,4/6/2020 8:01:59 PM,Approved,5.00,1.00,0.696700,N3791244,,,,
208805,A1242VXERK564,34V1S5K3GTRUA4LVUKVNI6ST73J69Z,1508,4/6/2020 7:37:00 PM,4/6/2020 8:02:08 PM,Approved,5.00,1.00,0.696700,N3791244,,,,
208805,A114INA2S32A8L,3018Q3ZVOJG116TKEECLPWU998ERAW,1578,4/6/2020 7:37:25 PM,4/6/2020 8:03:43 PM,Approved,5.00,1.00,0.696700,N3791244,,,,
208805,AWY68ANFRTHWQ,3LKC68YZ3BTVB647NRR9DQMVQ4XOWV,1787,4/6/2020 7:36:53 PM,4/6/2020 8:06:40 PM,Approved,5.00,1.00,0.696700,N3791244,,,,
208805,A31Z13BGZDNRN9,3CN4LGXD5YEVWIPPJ8UOKP16KLXY4U,1825,4/6/2020 7:36:51 PM,4/6/2020 8:07:16 PM,Approved,5.00,1.00,0.696700,N3791244,,,,
208805,A3080BMBBYP2N1,3PS7W85Z80S0C2W7QX3GTGK7RBTT9W,1741,4/6/2020 8:19:35 PM,4/6/2020 8:48:36 PM,Submitted To CloudResearch but not Amazon,0.00,0.00,0.696700,N3791244,,,,
